text,intent
buttermilk rate,PRICE_ENQUIRY
good afternoon,GREETING
cloves price enna bro,PRICE_ENQUIRY
bread fresh illai pa,COMPLAINT
do you hav groundnut oil,AVAILABILITY_CHECK
beans price how much,PRICE_ENQUIRY
price of brinjal,PRICE_ENQUIRY
do u hav moong dal,AVAILABILITY_CHECK
price of onion,PRICE_ENQUIRY
coriander available ah,AVAILABILITY_CHECK
rice price how much,PRICE_ENQUIRY
coffee irukkuma sir,AVAILABILITY_CHECK
is raw banana in stock,AVAILABILITY_CHECK
hand wash cost enna da,PRICE_ENQUIRY
how mch for wheat,PRICE_ENQUIRY
unga shop enga iruku?,OUT_OF_SCOPE
good morning sir?,GREETING
orange vachu irukenga,AVAILABILITY_CHECK
any watermelon avalaible,AVAILABILITY_CHECK
ok thanks bro,THANKS
hi anna?,GREETING
is kirambu available,AVAILABILITY_CHECK
idli rice kittaya,AVAILABILITY_CHECK
bro onion evlo,PRICE_ENQUIRY
hello bro?,GREETING
bro curd evlo,PRICE_ENQUIRY
i'll take 1kg rajma,BULK_ORDER
do you have rava,AVAILABILITY_CHECK
ok thanks,THANKS
arisi evvalavu,PRICE_ENQUIRY
cost of tea powder,PRICE_ENQUIRY
manjal 1litre kudungal,BULK_ORDER
good morning,GREETING
price of nalla ennai,PRICE_ENQUIRY
milagai avum cardamom avum iruka,MULTIPLE_ITEMS
toor dal eppadi iruku price,PRICE_ENQUIRY
wat is maida rate,PRICE_ENQUIRY
10kg tamato pack panningla,BULK_ORDER
good night!,GREETING
hii!,GREETING
upi teriyuma,OUT_OF_SCOPE
shop address sollu?,OUT_OF_SCOPE
is there murukku,AVAILABILITY_CHECK
thanks,THANKS
what does salt cost,PRICE_ENQUIRY
book halfkg namkeen for me,BULK_ORDER
vim also lizol also iruka,MULTIPLE_ITEMS
have you got milagai,AVAILABILITY_CHECK
kothamalli stock ah,AVAILABILITY_CHECK
give me 12pieces vermicelli,BULK_ORDER
beans stock there,AVAILABILITY_CHECK
unga shop enga iruku,OUT_OF_SCOPE
whatsapp number,OUT_OF_SCOPE
guava 2packets kudungal,BULK_ORDER
hey there,GREETING
jeera avum beetroot avum iruka,MULTIPLE_ITEMS
ghee 2packets kudungal,BULK_ORDER
pattai price sollunga sir,PRICE_ENQUIRY
what is ghee price,PRICE_ENQUIRY
pazham and cauliflower stock iruka,MULTIPLE_ITEMS
hi da!,GREETING
how much is apple,PRICE_ENQUIRY
how mch for pomegranate,PRICE_ENQUIRY
is there curd,AVAILABILITY_CHECK
idli rice avilable,AVAILABILITY_CHECK
what time do you close,OUT_OF_SCOPE
nandri,THANKS
how much curd price ah,PRICE_ENQUIRY
